Line,Strat Time,End Time
it's Bus Boy!,"00:32:11,681 "," 00:32:14,684"
What happened to your shirt?,"00:32:18,688 "," 00:32:20,481"
"And his opponentfor tonight,","00:32:24,944 "," 00:32:27,572"
it's Macau'sown fearsome killer...,"00:32:28,114 "," 00:32:31,159"
Xu Xialing!,"00:32:33,453 "," 00:32:37,457"
Sister.,"00:32:42,170 "," 00:32:43,504"
"Wait, wait!","00:32:45,423 "," 00:32:46,591"
What are you doing?,"00:32:48,760 "," 00:32:49,802"
I know you're upset.,"00:32:56,934 "," 00:32:58,561"
But can you hear me out?,"00:32:58,728 "," 00:33:00,229"
We don't have time for this.,"00:33:04,233 "," 00:33:05,985"
"Ooh, that's gotta hurt.","00:33:15,286 "," 00:33:16,579"
Can you please stop hitting me?,"00:33:23,294 "," 00:33:25,588"
Stop it! I'm trying to help you!,"00:33:35,932 "," 00:33:38,935"
Dad's coming for you.,"00:33:39,560 "," 00:33:41,729"
