Line,Strat Time,End Time
That tape and that player is mine!,"00:24:18,080 "," 00:24:19,923"
"Hooked on a Feeling, Blue Swede, 1973.","00:24:23,560 "," 00:24:26,484"
That song belongs to me!,"00:24:26,560 "," 00:24:28,050"
 You first! You first! Murderer!,"00:25:47,800 "," 00:25:50,724"
"Coming for you first, Gamora!You're dead!","00:25:51,160 "," 00:25:53,731"
You're scum! You're scum!,"00:25:53,800 "," 00:25:58,044"
"It's like I said,","00:26:01,000 "," 00:26:02,161"
she's got a rep.,"00:26:02,320 "," 00:26:04,209"
A lot of prisoners here have lost their families,"00:26:04,280 "," 00:26:06,169"
to Ronan and his goons.,"00:26:06,320 "," 00:26:08,402"
"She'll last a day, tops.","00:26:08,480 "," 00:26:09,686"
Murderer!,"00:26:09,880 "," 00:26:11,086"
"The guards will protect her, right?","00:26:11,520 "," 00:26:12,727"
They're here to stop us from getting out.,"00:26:13,160 "," 00:26:15,367"
They don't care what we do to each other inside.,"00:26:15,520 "," 00:26:17,443"
"Whatever nightmares the future holds,","00:26:17,600 "," 00:26:21,082"
are dreams compared to what's behind me.,"00:26:21,240 "," 00:26:24,881"
Check out the new meat.,"00:26:25,960 "," 00:26:28,770"
"I'm gonna slather you up in Gunavian jelly,","00:26:28,920 "," 00:26:32,606"
and go to town...,"00:26:32,760 "," 00:26:34,046"
Let's make something clear.,"00:26:38,680 "," 00:26:40,489"
This one here is our booty!,"00:26:41,640 "," 00:26:44,689"
"You wanna get to him,","00:26:45,360 "," 00:26:47,203"
You go through us!,"00:26:47,800 "," 00:26:49,529"
"Or, more accurately,","00:26:50,360 "," 00:26:52,681"
we go through you.,"00:26:53,160 "," 00:26:55,561"
I'm with them.,"00:27:05,600 "," 00:27:07,364"
I hate you.,"00:27:08,960 "," 00:27:10,610"
No cell's gonna protect you for long.,"00:27:11,400 "," 00:27:13,926"
You're dead!,"00:27:26,280 "," 00:27:27,691"
Dead!,"00:27:28,240 "," 00:27:29,241"
Take her down to the showers.,"00:27:55,520 "," 00:27:56,931"
It'll be easier to clean up the blood down there.,"00:27:57,400 "," 00:27:59,129"
"Quill, where you going?","00:28:12,920 "," 00:28:14,206"
Quill.,"00:28:15,520 "," 00:28:16,567"
Quill!,"00:28:17,440 "," 00:28:19,363"
"Gamora, consider this a death sentence","00:28:19,440 "," 00:28:22,922"
for your crimes against the galaxy.,"00:28:23,080 "," 00:28:25,208"
You dare?,"00:28:25,280 "," 00:28:26,486"
"You know who I am, yes?","00:28:32,680 "," 00:28:34,569"
You're Drax.,"00:28:35,280 "," 00:28:36,566"
The Destroyer.,"00:28:36,720 "," 00:28:38,802"
Quill!,"00:28:38,960 "," 00:28:39,961"
And you know why they call me this.,"00:28:40,040 "," 00:28:41,963"
You slayed dozens of Ronan's minions.,"00:28:42,120 "," 00:28:44,691"
"Ronan murdered my wife, Ovette,","00:28:45,360 "," 00:28:48,250"
"and my daughter, Camaria.","00:28:48,720 "," 00:28:50,688"
He slaughtered them where they stood.,"00:28:51,480 "," 00:28:53,289"
And he laughed!,"00:28:54,280 "," 00:28:56,009"
Quill?,"00:28:56,120 "," 00:28:57,087"
Her life,"00:28:57,160 "," 00:28:58,286"
is not yours to take.,"00:28:59,080 "," 00:29:01,048"
He killed my family.,"00:29:02,480 "," 00:29:05,051"
I shall kill one of his in return.,"00:29:05,760 "," 00:29:06,933"
"Of course, Drax. Here, I...","00:29:08,160 "," 00:29:10,367"
Quill! What are you doing?,"00:29:17,240 "," 00:29:18,651"
I'm no family to Ronan or Thanos.,"00:29:19,160 "," 00:29:22,448"
I'm your only hope at stopping him.,"00:29:32,040 "," 00:29:33,724"
Ah!,"00:29:33,840 "," 00:29:35,649"
"Woman, your words mean nothing to me!","00:29:35,720 "," 00:29:38,371"
" Hey! Hey, hey, hey! Hey! Oh, crap.","00:29:38,520 "," 00:29:41,046"
"You know, if killing Ronan is truly your sole purpose,","00:29:41,200 "," 00:29:43,362"
I don't think this is the best way to go about it.,"00:29:43,440 "," 00:29:45,165"
Are you not the man this wench attempted to kill?,"00:29:45,440 "," 00:29:48,523"
"Well, I mean, she's hardly the first woman","00:29:48,720 "," 00:29:49,926"
to try and do that to me.,"00:29:50,040 "," 00:29:51,041"
"Look, this is from a smokinghot Rajak girl.","00:29:51,160 "," 00:29:54,369"
