Line,Strat Time,End Time
Boom.,"00:13:25,514 "," 00:13:26,807"
The Big Bang sentsix elemental crystals...,"00:13:27,349 "," 00:13:30,686"
hurtling acrossthe virgin universe.,"00:13:30,853 "," 00:13:33,689"
These Infinity Stones,"00:13:34,732 "," 00:13:36,275"
each control an essentialaspect of existence.,"00:13:36,358 "," 00:13:39,278"
Space.,"00:13:40,237 "," 00:13:41,405"
Reality.,"00:13:42,531 "," 00:13:43,699"
Power.,"00:13:45,326 "," 00:13:46,494"
Soul.,"00:13:47,703 "," 00:13:48,871"
Mind.,"00:13:49,997 "," 00:13:51,165"
And Time.,"00:13:53,083 "," 00:13:54,335"
Tell me his name again.,"00:14:03,928 "," 00:14:05,179"
Thanos.,"00:14:05,262 "," 00:14:06,472"
"He's a plague, Tony.","00:14:06,639 "," 00:14:07,932"
He invades planets.He takes what he wants.,"00:14:08,015 "," 00:14:09,892"
He wipes outhalf the population.,"00:14:10,059 "," 00:14:12,269"
He sent Loki.,"00:14:12,353 "," 00:14:14,063"
"The attack on New York,that's him.","00:14:14,688 "," 00:14:17,608"
This is it.,"00:14:18,192 "," 00:14:19,318"
What's our timeline?,"00:14:20,486 "," 00:14:21,487"
No telling. He hasthe Power and Space Stones.,"00:14:21,570 "," 00:14:23,781"
That already makes him,"00:14:23,948 "," 00:14:24,949"
the strongest creaturein the whole universe.,"00:14:25,032 "," 00:14:26,575"
"If he gets his handson all six stones, Tony...","00:14:26,742 "," 00:14:30,079"
He could destroy life,"00:14:30,162 "," 00:14:31,247"
on a scalehitherto undreamt of.,"00:14:31,330 "," 00:14:33,332"
Did you seriously just sayhitherto undreamt of?,"00:14:33,415 "," 00:14:35,376"
Are you seriously leaningon the Cauldron of the Cosmos?,"00:14:35,501 "," 00:14:37,586"
Is that what it is?,"00:14:37,753 "," 00:14:39,255"
I'm going to allow that.,"00:14:42,007 "," 00:14:43,926"
"If Thanos needs all six,why don't we just","00:14:46,136 "," 00:14:47,596"
stick this one downa garbage disposal?,"00:14:47,680 "," 00:14:49,139"
No can do.,"00:14:49,223 "," 00:14:50,224"
We swore an oath to protectthe Time Stone with our lives.,"00:14:50,391 "," 00:14:53,102"
And I swore off dairy...,"00:14:53,269 "," 00:14:54,395"
but then Ben & Jerry's nameda flavor after me.,"00:14:54,478 "," 00:14:57,064"
 Stark Raving Hazelnuts. Not bad.,"00:14:57,147 "," 00:14:58,607"
A bit chalky.,"00:14:58,774 "," 00:15:00,150"
A Hunk of Hulk ofBurning Fudge is our favorite.,"00:15:00,317 "," 00:15:01,860"
 That's a thing? Whatever.,"00:15:02,027 "," 00:15:03,153"
"Point is, things change.","00:15:03,237 "," 00:15:04,405"
Our oath to protectthe Time Stone cannot change.,"00:15:04,572 "," 00:15:07,408"
And this stone may be the bestchance we have against Thanos.,"00:15:07,491 "," 00:15:09,618"
"Yeah, so conversely,","00:15:09,702 "," 00:15:10,703"
it may also behis best chance against us.,"00:15:10,786 "," 00:15:12,663"
"Well, if we don't do our jobs.","00:15:12,746 "," 00:15:14,206"
What is your job exactly?,"00:15:14,290 "," 00:15:15,291"
Besides makingballoon animals.,"00:15:15,374 "," 00:15:17,001"
"Protecting your reality,douchebag.","00:15:18,127 "," 00:15:20,754"
"Okay, guys. Could we tablethis discussion right now?","00:15:20,838 "," 00:15:23,340"
The fact iswe have this stone.,"00:15:23,507 "," 00:15:25,384"
We know where it is.,"00:15:25,467 "," 00:15:26,760"
Vision is out there somewherewith the Mind Stone...,"00:15:27,136 "," 00:15:29,471"
and we have to find him now.,"00:15:29,638 "," 00:15:31,348"
"Yeah, that's the thing.","00:15:32,141 "," 00:15:33,559"
What do you mean?,"00:15:33,642 "," 00:15:34,643"
"2 weeks ago, Vision turnedoff his transponder.","00:15:34,768 "," 00:15:36,979"
He's offline.,"00:15:37,062 "," 00:15:38,188"
 What? Yeah.,"00:15:38,272 "," 00:15:39,523"
"Tony, you lostanother superbot?","00:15:39,690 "," 00:15:41,692"
I didn't lose him. He's morethan that. He's evolving.,"00:15:41,775 "," 00:15:44,028"
Who could find Vision then?,"00:15:44,194 "," 00:15:45,654"
Shit.,"00:15:48,657 "," 00:15:49,658"
Probably Steve Rogers.,"00:15:50,326 "," 00:15:51,327"
"Oh, great.","00:15:51,493 "," 00:15:52,661"
Maybe.,"00:15:53,120 "," 00:15:54,330"
But...,"00:15:54,955 "," 00:15:55,956"
Call him.,"00:15:59,418 "," 00:16:00,544"
It's not that easy.,"00:16:01,295 "," 00:16:02,588"
"God, we haven't caught upin a spell, have we?","00:16:03,672 "," 00:16:05,549"
No.,"00:16:05,633 "," 00:16:06,634"
The Avengers broke up.We're toast.,"00:16:06,717 "," 00:16:08,385"
Broke up?,"00:16:09,011 "," 00:16:10,095"
Like a band?Like... Like the Beatles?,"00:16:12,014 "," 00:16:13,974"
Cap and I fell out hard.,"00:16:14,058 "," 00:16:15,976"
We're not on speaking terms.,"00:16:16,977 "," 00:16:18,145"
"Tony, listen to me.","00:16:19,605 "," 00:16:22,107"
Thor's gone.,"00:16:23,192 "," 00:16:24,526"
Thanos is coming.,"00:16:26,236 "," 00:16:27,404"
It doesn't matterwho you're talking to or not.,"00:16:27,488 "," 00:16:29,114"
Flip phone.,"00:16:46,382 "," 00:16:47,383"
"Say, Doc, you wouldn'thappen to be","00:17:08,487 "," 00:17:09,697"
"moving your hair, would ya?","00:17:09,780 "," 00:17:10,948"
"Not at the moment, no.","00:17:11,907 "," 00:17:14,118"
You okay?,"00:17:46,817 "," 00:17:48,652"
 Help him! Banner!,"00:17:49,778 "," 00:17:50,779"
" Wong! Look alive! Go, go! We got it!","00:17:50,946 "," 00:17:52,531"
"Friday, what am I looking at?","00:17:52,698 "," 00:17:53,741"
Not sure.I'm working on it.,"00:17:53,824 "," 00:17:55,159"
Hey! You might wannaput that Time Stone,"00:17:55,325 "," 00:17:57,369"
"in your back pocket, Doc!","00:17:57,453 "," 00:17:58,662"
Might wanna use it.,"00:17:58,829 "," 00:18:00,038"
"Ned, hey. I need youto cause a distraction.","00:18:27,483 "," 00:18:29,777"
Holy shit.,"00:18:29,943 "," 00:18:31,236"
We're all gonna die!,"00:18:31,612 "," 00:18:33,155"
There's a spaceship!,"00:18:33,238 "," 00:18:34,448"
" What's going on? Oh, my God!","00:18:34,615 "," 00:18:36,325"
What's the matterwith you kids?,"00:18:44,875 "," 00:18:45,959"
You never seena spaceship before?,"00:18:46,043 "," 00:18:47,836"
"Friday, evac anyonesouth of 43rd Street.","00:19:00,098 "," 00:19:02,434"
Notify first responders.,"00:19:02,518 "," 00:19:03,519"
Will do.,"00:19:03,685 "," 00:19:04,853"
Hear me and rejoice.,"00:19:33,215 "," 00:19:36,134"
You are about to die,"00:19:37,511 "," 00:19:38,971"
at the handsof the Children of Thanos.,"00:19:39,054 "," 00:19:41,098"
Be thankful...,"00:19:41,181 "," 00:19:43,725"
that your meaningless livesare now contributing...,"00:19:43,892 "," 00:19:46,436"
"I'm sorry,Earth is closed today.","00:19:46,812 "," 00:19:49,565"
You better pack it upand get outta here.,"00:19:49,731 "," 00:19:52,442"
Stonekeeper.,"00:19:52,609 "," 00:19:53,735"
Does this chattering animalspeak for you?,"00:19:54,695 "," 00:19:57,030"
Certainly not.I speak for myself.,"00:19:57,114 "," 00:19:58,907"
You're trespassing inthis city and on this planet.,"00:19:59,366 "," 00:20:01,785"
"He means get lost, Squidward.","00:20:02,786 "," 00:20:04,246"
He exhausts me.,"00:20:04,413 "," 00:20:05,581"
Bring me the stone.,"00:20:05,664 "," 00:20:07,708"
"Banner, you want a piece?","00:20:09,334 "," 00:20:10,794"
"Mmm, no, not really.","00:20:11,420 "," 00:20:13,171"
But when do I ever getwhat I want?,"00:20:13,255 "," 00:20:14,548"
That's right.,"00:20:14,715 "," 00:20:15,716"
Okay. Push!,"00:20:16,425 "," 00:20:17,634"
It's been a while.,"00:20:17,801 "," 00:20:19,261"
"It's gonna be goodto have you, buddy.","00:20:19,428 "," 00:20:20,929"
Okay. Shh.,"00:20:21,096 "," 00:20:22,097"
Let me just... I need toconcentrate here for a second.,"00:20:22,180 "," 00:20:24,933"
"Come on, come on, man.","00:20:25,100 "," 00:20:26,351"
God!,"00:20:26,435 "," 00:20:28,729"
Where's your guy?,"00:20:29,855 "," 00:20:31,106"
I don't know. We've sortabeen having a thing.,"00:20:32,524 "," 00:20:33,984"
 It's no time for a thing. I know.,"00:20:34,067 "," 00:20:35,110"
That's the thing right there.Let's go.,"00:20:35,277 "," 00:20:36,737"
"Dude, you're embarrassing mein front of the wizards.","00:20:43,952 "," 00:20:45,120"
"Tony, I'm sorry.Either I can't or he won't.","00:20:45,287 "," 00:20:47,205"
It's okay.,"00:20:47,289 "," 00:20:48,290"
"Hey, stand down.Keep an eye on him. Thank you.","00:20:48,373 "," 00:20:50,751"
 I have him. Damn it.,"00:20:50,918 "," 00:20:52,252"
Where'd that come from?,"00:21:19,947 "," 00:21:21,114"
It's nanotech.,"00:21:21,281 "," 00:21:22,324"
You like it?A little something I...,"00:21:22,407 "," 00:21:23,450"
"Doctor Banner, if the restof your green friend","00:21:27,204 "," 00:21:29,498"
won't be joining us...,"00:21:29,581 "," 00:21:30,707"
"Gotta get that stoneoutta here, now.","00:21:40,384 "," 00:21:41,635"
It stays with me.,"00:21:41,718 "," 00:21:43,136"
Exactly. Bye.,"00:21:43,303 "," 00:21:44,638"
"Tony, you okay?","00:21:53,981 "," 00:21:55,190"
" How we doing? Good? Bad? Really, really good.","00:21:55,357 "," 00:21:57,317"
Really good.Do you plan on helping out?,"00:21:57,401 "," 00:21:58,527"
I'm trying. He won't come out.,"00:21:58,694 "," 00:21:59,987"
Hammer.,"00:22:01,863 "," 00:22:02,948"
"Come on, Hulk!What are you doing to me?","00:22:10,706 "," 00:22:13,583"
Come out! Come out! Come out!,"00:22:13,750 "," 00:22:15,877"
No!,"00:22:16,044 "," 00:22:18,255"
"What do you mean, no?","00:22:22,134 "," 00:22:23,927"
"Hey, man.What's up, Mr. Stark?","00:22:29,683 "," 00:22:31,309"
" Kid, where'd you come from? A field trip to MoMA.","00:22:31,476 "," 00:22:34,271"
"Uh, what is this guy'sproblem, Mr. Stark?","00:22:36,314 "," 00:22:37,774"
"Uh, he's from space.","00:22:38,692 "," 00:22:39,943"
He came here to steala necklace from a wizard.,"00:22:40,027 "," 00:22:41,987"
Your powers are quaint.,"00:23:08,638 "," 00:23:10,474"
You must be popularwith children.,"00:23:10,557 "," 00:23:12,309"
It's a simple spellbut quite unbreakable.,"00:23:15,270 "," 00:23:17,064"
Then I'll take itoff your corpse.,"00:23:17,230 "," 00:23:19,191"
You'll find removing adead man's spell troublesome.,"00:23:32,245 "," 00:23:37,417"
You'll only wishyou were dead.,"00:23:37,501 "," 00:23:39,169"
No!,"00:23:49,429 "," 00:23:50,430"
"Kid,that's the wizard. Get on it.","00:23:54,601 "," 00:23:56,103"
