Line,Strat Time,End Time
has made herthe world's foremost astronomer.,"00:24:00,120 "," 00:24:01,880"
And the company that Pepper runs,"00:24:02,080 "," 00:24:03,730"
is the largest tech conglomerateon Earth. It's pretty exciting.,"00:24:03,840 "," 00:24:07,050"
There's even talk of Janegetting a Nobel Prize.,"00:24:07,200 "," 00:24:10,044"
"Yeah, they must be busy,","00:24:10,200 "," 00:24:11,486"
because they would hatemissing you guys get together.,"00:24:11,600 "," 00:24:14,171"
" Testosterone! Oh, my goodness.","00:24:15,200 "," 00:24:16,964"
 Excuse me. Want a lozenge?,"00:24:17,160 "," 00:24:18,366"
But Jane's better.,"00:24:21,000 "," 00:24:22,126"
Sounds like a hell of a fight.Sorry I missed it.,"00:24:22,560 "," 00:24:25,131"
"If I had knownit was gonna be a firefight,","00:24:25,240 "," 00:24:26,765"
I absolutely would have called.,"00:24:26,880 "," 00:24:28,120"
"No, no. I'm not actually sorry.I'm just trying to sound tough.","00:24:28,240 "," 00:24:31,565"
I'm very happy chasing cold leadson our missing persons case.,"00:24:32,160 "," 00:24:35,843"
Avenging is your world.,"00:24:36,800 "," 00:24:38,723"
Your world is crazy.,"00:24:39,880 "," 00:24:41,723"
Be it ever so humble.,"00:24:41,880 "," 00:24:43,370"
You find a place in Brooklyn yet?,"00:24:43,880 "," 00:24:45,245"
I don't thinkI can afford a place in Brooklyn.,"00:24:45,400 "," 00:24:47,240"
"Well, home is home, you know?","00:24:47,880 "," 00:24:49,041"
"I fly right up to the general's palace,I drop it at his feet,","00:24:52,960 "," 00:24:55,406"
"I'm, like, Boom. You looking for this?","00:24:55,560 "," 00:24:57,160"
I gotta have some of that.,"00:25:02,960 "," 00:25:04,121"
"No, no, no. See this...","00:25:04,240 "," 00:25:06,234"
"This was aged for 1,000 years","00:25:06,319 "," 00:25:09,006"
in the barrels builtfrom the wreck of Grunhel's fleet.,"00:25:09,120 "," 00:25:11,930"
It is not meant for mortal men.,"00:25:12,080 "," 00:25:13,764"
"Neither was Omaha Beach, blondie.","00:25:13,880 "," 00:25:15,882"
Stop trying to scare us. Come on.,"00:25:16,000 "," 00:25:18,287"
All right.,"00:25:20,120 "," 00:25:21,565"
Excelsior.,"00:25:25,480 "," 00:25:27,926"
How'd a nice girl like youwind up working in a dump like this?,"00:25:34,800 "," 00:25:38,122"
Fella done me wrong.,"00:25:39,680 "," 00:25:41,648"
"You got lousy taste in men, kid.","00:25:42,640 "," 00:25:44,802"
He's not so bad.,"00:25:45,280 "," 00:25:47,203"
"Well, he has a temper.","00:25:48,280 "," 00:25:50,408"
"Deep down, he's all fluff.","00:25:50,520 "," 00:25:52,488"
"Fact is, he's not like anybodyI've ever known.","00:25:54,520 "," 00:25:56,602"
All my friends are fighters.,"00:25:59,760 "," 00:26:01,683"
"And here comes this guy,","00:26:04,520 "," 00:26:06,488"
spends his life avoiding the fightbecause he knows he'll win.,"00:26:07,800 "," 00:26:11,011"
 Sounds amazing. He's also a huge dork.,"00:26:11,840 "," 00:26:14,491"
Chicks dig that.,"00:26:16,640 "," 00:26:18,290"
"So what do you think?Should I fight this,","00:26:19,880 "," 00:26:23,123"
or run with it?,"00:26:23,240 "," 00:26:24,446"
"Run with it, right? Or did he... Was he...","00:26:26,000 "," 00:26:28,844"
What did he dothat was so wrong to you?,"00:26:28,960 "," 00:26:32,123"
Not a damn thing.,"00:26:32,800 "," 00:26:34,564"
But never say never.,"00:26:36,120 "," 00:26:38,043"
It's nice.,"00:26:42,200 "," 00:26:43,440"
What is?,"00:26:43,560 "," 00:26:44,766"
You and Romanoff.,"00:26:44,880 "," 00:26:45,881"
"No, we haven't... That wasn't...","00:26:46,040 "," 00:26:47,121"
It's okay.,"00:26:47,240 "," 00:26:48,287"
Nobody's breaking any bylaws.,"00:26:48,400 "," 00:26:50,448"
It's just she's not the mostopen person in the world.,"00:26:50,560 "," 00:26:53,882"
But with you she seems very relaxed.,"00:26:54,520 "," 00:26:56,045"
"No. Natasha, she's just...She likes to flirt.","00:26:56,440 "," 00:26:59,728"
"I've seen her flirt, up close.","00:27:00,360 "," 00:27:02,647"
This ain't that.,"00:27:03,680 "," 00:27:04,727"
"Look,","00:27:06,680 "," 00:27:08,091"
"as maybe the world's leading authorityon waiting too long, don't.","00:27:08,200 "," 00:27:12,007"
You both deserve a win.,"00:27:13,720 "," 00:27:15,131"
What do you mean up close?,"00:27:20,400 "," 00:27:21,520"
" But it's a trick. No, no, it's much more than that.","00:27:23,360 "," 00:27:25,886"
