Speaker,Line
Nick Fury,"You have three, over. Want to see my lease."
Fury's Car,Fracture detected. Recommend anesthetic injection. D.C. Metro Police dispatch shows no units in this area.
Nick Fury,Get me out of here.
Fury's Car,Propulsion systems offline.
Nick Fury,"Then reboot, dammit."
Fury's Car,Warning. Window integrity compromised.
Nick Fury,You think. How long to propulsion.
Fury's Car,Calculating. Window Integrity thiry-one percent. Deploying countermeasures.
Nick Fury,Hold that order.
Fury's Car,Window Integrity nineteen percent. Offensive measures advised.
Nick Fury,Wait.
Fury's Car,Window Integrity one percent.
Nick Fury,Now.
Fury's Car,Propulsion systems now online.
Nick Fury,"Full acceleration, now. Initiate vertical takeoff."
Fury's Car,Flight systems damaged.
Nick Fury,Then activate guidance cameras. Give me the wheel. Get me Agent Hill.
Fury's Car,Communications array damaged.
Nick Fury,"Well, whats not damaged."
Fury's Car,Air conditioning is fully operational. Traffic ahead.
Nick Fury,Give me an alternate route.
Fury's Car,"Traffic alert on Roosevelt Bridge. All vehicles stopped. 17th Avenue clear in three blocks, directly ahead. Warning, approaching intersection."
Nick Fury,Get me off the grid.
Fury's Car,Calculating route to secure location.
Sharon Carter,"Thats so sweet. That is so nice. Hey. I gotta go, though. Okay, bye. My aunt, shes kind of an insomniac. Yeah."
Steve Rogers,"Hey, if you want.if you want, youre welcome to use my machine. Might be cheaper than the one in the basement."
Sharon Carter,"Oh, yeah. Whats it cost."
Steve Rogers,A cup of coffee.
Sharon Carter,"Thank you, but um.I already have a load in downstairs, and, uh.you really dont want my scrubs in your machine. Im just finished orientation in the infectious diseases ward, so."
Steve Rogers,"Ah, well, Ill keep my distance."
Sharon Carter,"Well hopefully not too far. Oh, and I think you left your stereo on."
Steve Rogers,"Oh. Right, thank you."
Sharon Carter,Yeah.
Steve Rogers,I dont remember giving you a key.
Nick Fury,You really think Id need one. My wife kicked me out.
Steve Rogers,Didnt know you were married.
Nick Fury,A lot of things you dont about me.
Steve Rogers,"I know, Nick. Thats the problem."
Nick Fury,"Im sorry to have to do this, but I had no place else to crash."
Steve Rogers,Who else knows about your wife.
Nick Fury,Just.my friends.
Steve Rogers,Is that what we are.
Nick Fury,Thats up to you. Dont.trust anyone.
Sharon Carter,"Captain Rogers. Captain, Im Agent 13 of SHIELD Special Service."
Steve Rogers,Kate.
Sharon Carter,Im assigned to protect you.
Steve Rogers,On whose order.
