Line,Strat Time,End Time
The satellites can read a terrorist's DNAbefore he steps outside his spider hole.,"00:17:01,893 "," 00:17:06,103"
We're gonna neutralise a lot of threatsbefore they even happen.,"00:17:06,573 "," 00:17:09,383"
Thought the punishmentusually came after the crime.,"00:17:09,573 "," 00:17:11,628"
We can't afford to wait that long.,"00:17:11,653 "," 00:17:13,098"
Who's we?,"00:17:13,253 "," 00:17:14,778"
"After New York, I convincedthe World Security Council","00:17:14,973 "," 00:17:17,214"
we needed a quantum surgein threat analysis.,"00:17:17,413 "," 00:17:19,700"
"For once, we're way ahead of the curve.","00:17:20,573 "," 00:17:22,780"
By holding a gun to everyone on Earthand calling it protection.,"00:17:23,533 "," 00:17:26,457"
"You know, I read those SSR files.","00:17:28,053 "," 00:17:30,101"
Greatest Generation?,"00:17:30,893 "," 00:17:31,974"
You guys did some nasty stuff.,"00:17:32,733 "," 00:17:34,383"
"Yeah, we compromised.","00:17:34,573 "," 00:17:36,098"
Sometimes in ways thatmade us not sleep so well.,"00:17:36,613 "," 00:17:38,533"
But we did itso that people could be free.,"00:17:38,933 "," 00:17:41,220"
This isn't freedom. This is fear.,"00:17:41,413 "," 00:17:43,620"
"S.H.I.E.L.D. takes the world as it is,not as we'd like it to be.","00:17:43,773 "," 00:17:47,175"
"And it's getting damn near past timefor you to get with that Programme, Cap.","00:17:47,373 "," 00:17:51,344"
Don't hold your breath.,"00:17:52,333 "," 00:17:54,176"
Welcome to the Smithsonian.,"00:18:12,853 "," 00:18:14,821"
Visitor information booths areavailable on the second level.,"00:18:14,973 "," 00:18:18,500"
A symbol to the nation.,"00:18:27,533 "," 00:18:29,661"
A hero to the world.,"00:18:30,853 "," 00:18:32,617"
"The story of Captain Americais one of Honour, bravery and sacrifice.","00:18:34,013 "," 00:18:39,861"
"Denied enlistment due to poor health,","00:18:44,533 "," 00:18:47,298"
Steven Rogers was chosenfor a Programme,"00:18:47,533 "," 00:18:49,740"
unique in the annalsof American warfare.,"00:18:49,933 "," 00:18:53,062"
One that would transform himinto the world's first SuperSoldier.,"00:18:54,053 "," 00:18:59,014"
"In this rare footage,","00:19:05,693 "," 00:19:06,694"
"everyone's favourite war hero,Captain America...","00:19:06,853 "," 00:19:09,220"
"Battle tested,","00:19:09,373 "," 00:19:10,898"
Captain America,"00:19:11,053 "," 00:19:12,054"
and his Howling Commandosquickly earned their stripes.,"00:19:12,413 "," 00:19:15,542"
Their mission,"00:19:15,693 "," 00:19:16,774"
"taking down HYDRA,the Nazi rogue science division.","00:19:17,133 "," 00:19:20,774"
"Best friends since childhood,","00:19:24,093 "," 00:19:26,095"
Bucky Barnes and Steven Rogerswere inseparable,"00:19:27,053 "," 00:19:30,375"
on both schoolyard and battlefield.,"00:19:30,573 "," 00:19:32,462"
Barnes is the only HowlingCommando to give his life,"00:19:33,853 "," 00:19:37,903"
in service of his country.,"00:19:38,053 "," 00:19:40,624"
That was a difficult winter.,"00:19:45,693 "," 00:19:47,468"
A blizzard had trapped halfour battalion behind the German line.,"00:19:47,493 "," 00:19:50,975"
"Steve, Captain Rogers,","00:19:51,733 "," 00:19:54,782"
he fought his waythrough a HYDRA blockade,"00:19:55,013 "," 00:19:57,619"
that had pinned our alliesdown for months.,"00:19:57,853 "," 00:20:00,379"
"He saved over 1,000 men.","00:20:02,333 "," 00:20:03,778"
Including the man who would...,"00:20:04,773 "," 00:20:06,343"
"Who would become my husband,as it turned out.","00:20:07,653 "," 00:20:10,623"
"Even after he died,Steve was still changing my life.","00:20:11,493 "," 00:20:14,258"
"You should beproud of yourself, Peggy.","00:20:17,293 "," 00:20:18,813"
Mmm.,"00:20:24,813 "," 00:20:26,178"
I have lived a life.,"00:20:27,173 "," 00:20:29,301"
My only regret is thatyou didn't get to live yours.,"00:20:31,213 "," 00:20:34,422"
What is it?,"00:20:37,613 "," 00:20:38,660"
"For as long as I can remember,I just wanted to do what was right.","00:20:41,613 "," 00:20:44,901"
I guess I'm not quite surewhat that is any more.,"00:20:46,333 "," 00:20:48,654"
And I thought I couldthrow myself back in and follow orders.,"00:20:51,533 "," 00:20:55,948"
Serve.,"00:20:55,973 "," 00:20:57,463"
It's just not the same.,"00:21:00,613 "," 00:21:02,695"
You're always so dramatic.,"00:21:03,013 "," 00:21:04,697"
"Look, you saved the world.","00:21:07,933 "," 00:21:11,540"
We rather mucked it up.,"00:21:14,013 "," 00:21:17,859"
You didn't.,"00:21:18,213 "," 00:21:19,499"
Knowing that you helped foundS.H.I.E.L.D. is half the reason I stay.,"00:21:20,053 "," 00:21:23,774"
Hey.,"00:21:24,613 "," 00:21:25,660"
"The world has changed,and none of us can go back.","00:21:28,493 "," 00:21:32,737"
All we can do is our best.,"00:21:33,933 "," 00:21:36,095"
And sometimes the best thatwe can do is to start over.,"00:21:36,293 "," 00:21:40,537"
Peggy.,"00:21:48,013 "," 00:21:49,014"
Steve.,"00:21:54,853 "," 00:21:55,854"
Yeah?,"00:21:56,693 "," 00:21:57,740"
You're alive.,"00:21:59,413 "," 00:22:00,699"
You came back.,"00:22:01,693 "," 00:22:04,458"
"Yeah, Peggy.","00:22:04,733 "," 00:22:05,734"
It's been so long.,"00:22:09,253 "," 00:22:11,494"
So long.,"00:22:14,053 "," 00:22:15,543"
"Well, I couldn't leave my best girl.","00:22:16,573 "," 00:22:19,099"
Not when she owes me a dance.,"00:22:19,293 "," 00:22:21,421"
Secure office.,"00:22:27,413 "," 00:22:28,778"
Open Lemurian Star'ssatellite launch file.,"00:22:36,693 "," 00:22:39,583"
Access denied.,"00:22:40,613 "," 00:22:42,342"
Run decryption.,"00:22:43,053 "," 00:22:44,054"
Decryption failed.,"00:22:46,653 "," 00:22:48,576"
"Director override. Fury, Nicholas J.","00:22:48,773 "," 00:22:51,458"
Override denied. All files sealed.,"00:22:53,493 "," 00:22:56,542"
On whose authority?,"00:22:56,733 "," 00:22:58,178"
"Fury, Nicholas J.","00:22:58,373 "," 00:23:00,614"
World Security Council.,"00:23:06,173 "," 00:23:07,299"
Confirmed.,"00:23:07,453 "," 00:23:08,659"
If Nick Fury thinkshe can get his costumed thugs,"00:23:11,293 "," 00:23:13,613"
"and S.T.R.I.K.E. commandos tomop up his mess, he's sadly mistaken.","00:23:13,773 "," 00:23:17,016"
This failure is unacceptable.,"00:23:17,213 "," 00:23:18,374"
Considering this attack took place,"00:23:18,573 "," 00:23:20,177"
"one mile from my country'ssovereign waters,","00:23:20,373 "," 00:23:22,137"
it's a bit more than that.I move for immediate hearing.,"00:23:22,293 "," 00:23:24,694"
"We don't need hearings,we need action.","00:23:24,933 "," 00:23:26,822"
It's this Council's dutyto oversee S.H.I.E.L.D.,"00:23:26,973 "," 00:23:29,101"
A breach like thisraises serious questions.,"00:23:29,373 "," 00:23:31,262"
Like how the hell did a French pirate,"00:23:31,453 "," 00:23:33,137"
manage to hijack a covert S.H.I.E.L.D.vessel in broad daylight?,"00:23:33,333 "," 00:23:37,224"
"For the record, Councilman,he's Algerian.","00:23:37,413 "," 00:23:39,495"
I can draw a map if it'd help.,"00:23:40,133 "," 00:23:42,135"
"I appreciate your wit, Secretary Pierce.","00:23:42,293 "," 00:23:45,137"
But this Council takes thingslike international piracy fairly seriously.,"00:23:45,973 "," 00:23:48,897"
Really? I don't.,"00:23:49,133 "," 00:23:52,342"
"I don't care about one boat,I care about the fleet.","00:23:53,773 "," 00:23:56,344"
If this Council is going to fall to rancour,"00:23:57,453 "," 00:24:00,308"
"every time someone pushes uson the playing field,","00:24:00,333 "," 00:24:03,018"
maybe we need someone to oversee us.,"00:24:04,253 "," 00:24:06,301"
"Mr. Secretary,nobody is suggesting...","00:24:06,493 "," 00:24:09,019"
