Line,Strat Time,End Time
Give me your shoe.,"00:19:55,695 "," 00:19:57,279"
Oh.,"00:20:02,910 "," 00:20:04,119"
Were those the car keys?,"00:20:18,342 "," 00:20:20,802"
Whoa. Ah!,"00:20:49,165 "," 00:20:50,665"
Oh!,"00:20:52,668 "," 00:20:54,169"
Darcy!,"00:20:58,507 "," 00:20:59,507"
Oh!,"00:21:46,722 "," 00:21:47,722"
The Aether awakens us.,"00:23:00,546 "," 00:23:02,797"
The Convergence returns.,"00:23:02,965 "," 00:23:06,426"
You're late.,"00:23:21,150 "," 00:23:22,817"
Merriment can sometimesbe a heavier burden than battle.,"00:23:23,903 "," 00:23:27,155"
Then you're doingone of them incorrectly.,"00:23:27,323 "," 00:23:28,823"
Perhaps.,"00:23:29,742 "," 00:23:31,659"
How fare the stars?,"00:23:31,827 "," 00:23:33,661"
Still shining.,"00:23:33,829 "," 00:23:35,497"
"From here, I can seenine realms and 10 trillion souls.","00:23:35,664 "," 00:23:38,458"
Do you recallwhat I taught you of the Convergence?,"00:23:43,339 "," 00:23:46,091"
Yes.,"00:23:46,258 "," 00:23:47,342"
The alignment of the worlds.,"00:23:47,593 "," 00:23:49,844"
"It approaches, doesn't it?","00:23:50,012 "," 00:23:51,721"
The universe hasn't seen this marvelsince before my watch began.,"00:23:51,972 "," 00:23:55,850"
Few can sense it. Even fewer can see it.,"00:23:56,894 "," 00:24:00,105"
"But while its effects can be dangerous,","00:24:01,524 "," 00:24:04,067"
it is truly beautiful.,"00:24:04,902 "," 00:24:07,737"
I see nothing.,"00:24:09,031 "," 00:24:10,490"
"Or, perhaps,that is not the beauty you seek.","00:24:10,574 "," 00:24:14,202"
How is she?,"00:24:20,042 "," 00:24:21,376"
"She's quite clever,your mortal.","00:24:21,544 "," 00:24:23,461"
"She doesn't know it yet,","00:24:23,587 "," 00:24:24,838"
but she studiesthe Convergence as well.,"00:24:24,922 "," 00:24:27,423"
Even...,"00:24:27,591 "," 00:24:28,800"
What?,"00:24:30,553 "," 00:24:31,970"
I can't see her.,"00:24:34,807 "," 00:24:36,224"
Jane!,"00:25:15,639 "," 00:25:18,224"
Where the hell were you?,"00:25:18,809 "," 00:25:20,101"
Tell me you didn't call the police.,"00:25:20,436 "," 00:25:21,853"
What was I supposed to do?,"00:25:21,937 "," 00:25:23,062"
 Not call the police. I was freaking out.,"00:25:23,189 "," 00:25:24,981"
"You call the cops, they call the Feds.","00:25:25,065 "," 00:25:26,274"
"Next thing you know,we have S.H.I.E.L.D. crawling all over","00:25:26,358 "," 00:25:28,276"
 Area 51ing the place. Jane.,"00:25:28,485 "," 00:25:29,944"
We had a stable gravitation anomaly.,"00:25:30,029 "," 00:25:32,113"
We had unimpeded access.,"00:25:32,198 "," 00:25:33,489"
